지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 전운량(1/10),평균 지면온도(°C),안개 계속시간(hr)
108,서울,2017-09-21,20.3,,1.6,57.3,.5,21.7,
108,서울,2017-09-22,20.6,,2.1,60.8,3.5,22.1,
108,서울,2017-09-23,21.8,0,1.6,69.8,6.6,23.3,
108,서울,2017-09-24,22.4,0,2,71.5,6.9,24.3,
108,서울,2017-09-25,23.4,,1.4,58,2.5,25.2,
108,서울,2017-09-26,25.1,0,1.9,57,4.9,27,
108,서울,2017-09-27,22.7,.5,1.7,66.4,8.8,24,
108,서울,2017-09-28,19.2,,2.8,49.1,2.5,23,
108,서울,2017-09-29,17.4,,2.2,39.3,3.1,20,
108,서울,2017-09-30,20,,1.5,64.9,3.5,21.1,
108,서울,2017-10-01,18.2,4,2.3,74.8,8.9,18.8,
108,서울,2017-10-02,22,1.5,2.3,62.3,2.6,21.7,
108,서울,2017-10-03,17.6,,2.3,49.8,5.8,18.2,
108,서울,2017-10-04,16.7,,1.8,48.5,6.6,17.5,
108,서울,2017-10-05,18.7,,2.1,56.4,8,18.7,
108,서울,2017-10-06,18.9,.5,2.3,66.4,8.5,19.4,
108,서울,2017-10-07,21.9,0,1.2,67.6,7.5,23.9,
108,서울,2017-10-08,23,,1.4,66.9,4.8,25.3,
108,서울,2017-10-09,22.5,0,1.5,66,6.5,24.9,
108,서울,2017-10-10,21.4,.4,1.3,76.9,9.3,22.1,
108,서울,2017-10-11,15.5,20,2.9,77.1,9.3,17.4,
108,서울,2017-10-12,11.4,,2,71,7.1,11.7,
108,서울,2017-10-13,12.8,,3.2,51,3.4,12.8,
108,서울,2017-10-14,14.4,,,42.8,4.9,13.5,
108,서울,2017-10-15,15.8,,1.7,42.5,5.4,15.3,
108,서울,2017-10-16,16.6,,1.7,47.6,7.9,17.2,
108,서울,2017-10-17,16.2,,1.3,47.1,.4,16.2,
108,서울,2017-10-18,16.5,.1,2.4,58.8,9.3,15.7,
108,서울,2017-10-19,17,,1.8,58.3,3.8,16.8,
108,서울,2017-10-20,17,,1.5,58.6,.1,16.9,
108,서울,2017-10-21,17.6,,1.3,52.8,0,16.7,
108,서울,2017-10-22,16.3,,3.1,50.4,1.8,15.6,
108,서울,2017-10-23,13.7,,1.4,47,0,14.4,
108,서울,2017-10-24,14.4,,1.9,54.3,3,14.3,
108,서울,2017-10-25,14.4,,1.5,59,2.9,14.7,
108,서울,2017-10-26,14.5,,1.2,56.5,8.6,14.6,
108,서울,2017-10-27,16.9,,1.2,54.4,1.9,16.8,
108,서울,2017-10-28,17.2,,2,51.9,.1,16.5,
108,서울,2017-10-29,11.5,,3.3,45.6,0,12.1,
108,서울,2017-10-30,7.7,,2.4,27.4,0,10.1,
108,서울,2017-10-31,10.4,,1.8,54.3,1.8,11.4,
108,서울,2017-11-01,14.4,,2.1,72.4,8.5,14.5,
108,서울,2017-11-02,15.5,1,1.6,78.8,8.8,14.6,
108,서울,2017-11-03,12.3,1.5,3.2,66,5.6,12.8,
108,서울,2017-11-04,7.8,,2.5,47.9,2.4,8.6,
108,서울,2017-11-05,8.4,,1.5,52.5,3.3,7.9,
108,서울,2017-11-06,11.4,,1.5,64.5,5.5,11.9,
108,서울,2017-11-07,14.4,0,1.5,61.4,9.1,14.4,
108,서울,2017-11-08,13.1,0,3,53.3,3.9,13.9,
108,서울,2017-11-09,9.4,,1.2,39.6,0,8.8,
108,서울,2017-11-10,9.8,7.5,3,56.3,4.4,8.3,
108,서울,2017-11-11,5.9,,2.2,42.9,0,5.2,
108,서울,2017-11-12,5.3,,1.4,57.1,1.5,3.8,
108,서울,2017-11-13,8.4,4.5,1.9,64.4,7.9,6.8,
108,서울,2017-11-14,7.5,,2.4,42.5,1.9,6.1,
108,서울,2017-11-15,3.2,,2.8,38.3,4.1,2.6,
108,서울,2017-11-16,1,,1.5,30.3,0,1.6,
108,서울,2017-11-17,3,0,2.2,39.4,8.5,1.6,
108,서울,2017-11-18,-2.1,,3.4,38.5,0,.4,
108,서울,2017-11-19,-1.6,,2.2,37.8,2.8,-.8,
108,서울,2017-11-20,-.4,0,1.4,55.3,3.5,-.3,
108,서울,2017-11-21,1.3,,1.4,55.6,1.1,.8,
108,서울,2017-11-22,4.3,.5,2.4,54.8,5.1,2.8,
108,서울,2017-11-23,.9,1.2,2.1,49.3,4.8,.9,
108,서울,2017-11-24,-.4,0,1.8,62.5,3.3,1.2,
108,서울,2017-11-25,3,24,1.8,77.6,7.5,1.1,
108,서울,2017-11-26,3.3,,1.8,71.6,4.3,3.5,5.5
108,서울,2017-11-27,2.5,,1.3,53,.9,1.9,
108,서울,2017-11-28,6.4,.5,1.1,64.1,8.4,3.9,
108,서울,2017-11-29,3.2,0,2.8,48.3,5.4,4.3,
108,서울,2017-11-30,-2.4,,3.3,26.8,2,-.2,
108,서울,2017-12-01,-2.2,0,1.6,49.4,2.3,-1.9,
108,서울,2017-12-02,1.9,,1.7,59.9,3.8,.4,
108,서울,2017-12-03,4.9,4,1.5,83.1,9,4.6,
108,서울,2017-12-04,-1.2,.1,3.4,48.1,1.4,1.2,
108,서울,2017-12-05,-4.2,.1,,40.1,1.6,-2.7,
108,서울,2017-12-06,.2,1.2,,72.6,7,.4,
108,서울,2017-12-07,.7,,1.7,64.5,3.5,1.7,
108,서울,2017-12-08,-3.8,,1.8,41.3,2.1,-1.7,
108,서울,2017-12-09,-.5,,1,46.1,2.8,-1,
108,서울,2017-12-10,1.1,4.1,2,67.9,7,-.2,
108,서울,2017-12-11,-7,,3.5,40.5,.3,-3.2,
108,서울,2017-12-12,-9.4,,2.1,41.9,0,-6,
108,서울,2017-12-13,-8.7,,1.7,42,0,-6.4,
108,서울,2017-12-14,-6.6,,.9,42.9,5.9,-5.4,
108,서울,2017-12-15,-3,0,1,52.6,7.3,-3,
108,서울,2017-12-16,-5.7,,3,43.1,0,-4.4,
108,서울,2017-12-17,-6.7,,1.9,38.1,1.1,-5.7,
108,서울,2017-12-18,-1.6,3.4,1.2,80,6.8,-1.6,
108,서울,2017-12-19,-3.9,,2.1,49.4,1,-2,
108,서울,2017-12-20,-3.9,.2,1.1,68,7.1,-2.6,
108,서울,2017-12-21,-.9,,1.2,71.4,.4,-2.2,
108,서울,2017-12-22,3.4,,1.1,66.6,8.4,.4,
108,서울,2017-12-23,6.1,,1.1,75.8,8,1.7,
108,서울,2017-12-24,2.9,20,1.9,82,6.6,1.5,3.33
108,서울,2017-12-25,-2.1,,2.8,43.1,2.1,-1,
108,서울,2017-12-26,-3.8,,2.9,41.8,.3,-2.5,
108,서울,2017-12-27,-6.9,,1.9,31.4,0,-4.6,
108,서울,2017-12-28,-2.1,0,1.3,47,8.5,-1.7,
108,서울,2017-12-29,2.1,0,1.1,67,4.6,.4,
108,서울,2017-12-30,1.4,.7,.9,79.5,9.3,-.2,4.92
108,서울,2017-12-31,-.3,1,2.3,54.4,1.9,.2,1.33
108,서울,2018-01-01,-1.3,,1.4,39.1,1,-1.7,
108,서울,2018-01-02,-1.8,,1.8,42,2.3,-2.3,
108,서울,2018-01-03,-4.7,,2.2,42.3,3.6,-3.4,
108,서울,2018-01-04,-4.7,,1.4,43,6.5,-3.3,
108,서울,2018-01-05,-3,,1.7,48.4,3.6,-2.6,
108,서울,2018-01-06,-2.8,,1.5,45.8,0,-3.1,
108,서울,2018-01-07,-.8,,.8,42.1,7.5,-2.2,
108,서울,2018-01-08,1.3,.9,1.8,51.9,9,.4,
108,서울,2018-01-09,-4.2,.5,2.9,59.4,3.5,-1.2,
108,서울,2018-01-10,-7.5,.3,3,52,.9,-2.9,
108,서울,2018-01-11,-11.1,,2.8,49.8,.4,-5.6,
108,서울,2018-01-12,-10.2,0,1.7,35.4,2.3,-6.1,
108,서울,2018-01-13,-4.4,.4,.8,67.3,8.3,-2.8,
108,서울,2018-01-14,.6,,1.2,64.1,7,-1.1,
108,서울,2018-01-15,4.7,.2,1.4,63.9,7.6,1.5,
108,서울,2018-01-16,3.5,0,.7,59.1,9.8,.7,
108,서울,2018-01-17,4.5,,1.2,64.1,7.4,1.7,
108,서울,2018-01-18,2.1,0,1.9,59.6,8.6,1.3,
108,서울,2018-01-19,1,,1.6,43,3.8,.3,
108,서울,2018-01-20,2.2,,1.6,57.6,5.1,.2,
108,서울,2018-01-21,.4,,1,36.6,2,-.5,
108,서울,2018-01-22,.2,3.3,1.5,56.5,9.4,-.2,
108,서울,2018-01-23,-11.7,,3.7,42,.3,-4.4,
108,서울,2018-01-24,-14.2,,3.4,31.6,0,-8.3,
108,서울,2018-01-25,-14,,2.8,32.6,3.6,-8.5,
108,서울,2018-01-26,-14.8,,2.6,34.9,0,-9.3,
108,서울,2018-01-27,-9.9,,1.4,37.4,1.8,-7.5,
108,서울,2018-01-28,-6.3,,2.6,36,3.3,-4.4,
108,서울,2018-01-29,-8.5,,2.7,35,.1,-6.2,
108,서울,2018-01-30,-5.3,2.9,1.3,62,5.8,-4.6,
108,서울,2018-01-31,-2.6,0,1.6,54.5,7.4,-1.8,
108,서울,2018-02-01,-4,,1.6,44.1,0,-3.1,
108,서울,2018-02-02,-2.4,,1.6,51.1,1.9,-2.8,
108,서울,2018-02-03,-7.3,.5,3.8,47,1.3,-3.7,
108,서울,2018-02-04,-9.5,,3.1,40.9,0,-6.6,
108,서울,2018-02-05,-9.4,,3,37.8,.1,-6.8,
108,서울,2018-02-06,-10.1,,3.1,36.5,1.1,-6.9,
108,서울,2018-02-07,-8,,1.5,39.8,1,-6.1,
108,서울,2018-02-08,-4.4,,1.2,43.3,.3,-3.9,
108,서울,2018-02-09,.4,,1.1,43.9,9.1,-1.3,
108,서울,2018-02-10,-.5,,3,47.4,6.5,.2,
108,서울,2018-02-11,-6.1,0,2.7,42.5,3.5,-3.4,
108,서울,2018-02-12,-5.8,0,2.7,40.8,4.1,-3.2,
108,서울,2018-02-13,-.8,,2.7,54.5,3.1,-1.5,
108,서울,2018-02-14,3.5,,2.6,51,7.4,1.7,
108,서울,2018-02-15,-.7,,2.5,28,3.8,.9,
108,서울,2018-02-16,-1.1,,2.1,40.1,3.3,-.1,
108,서울,2018-02-17,-3,,2.9,25.6,1.9,-.8,
108,서울,2018-02-18,-.4,,1.3,26.9,7.4,-.1,
108,서울,2018-02-19,1.8,,1.5,48.6,6.1,1.1,
108,서울,2018-02-20,.9,,2.5,41,5,1.2,
108,서울,2018-02-21,-.9,,2.3,31.5,1.6,.2,
108,서울,2018-02-22,1.3,.4,2.2,59,5.8,.2,
108,서울,2018-02-23,4.2,3.7,1.9,81.1,7,2.4,
108,서울,2018-02-24,2.4,,2.1,49.4,6.1,2.8,
108,서울,2018-02-25,1.9,,1.7,40.6,2.4,2.7,
108,서울,2018-02-26,3.1,,1.4,43.1,1.3,2.5,
108,서울,2018-02-27,4.2,,.9,48.8,8.5,.4,
108,서울,2018-02-28,4.6,25,2,73.3,10,2,
108,서울,2018-03-01,-.2,.5,3.8,61.9,4.4,2.5,
108,서울,2018-03-02,-.7,,1.5,34,2.4,1.1,
108,서울,2018-03-03,7.9,0,1.5,38.1,4.1,5.3,
108,서울,2018-03-04,9.8,11.5,1.2,89.1,10,7.6,
108,서울,2018-03-05,5.5,3.5,2,67.5,5.4,6.7,
108,서울,2018-03-06,4.5,,1.6,46.8,2.1,4.1,
108,서울,2018-03-07,6.4,.5,1.8,54,8.6,4.4,
108,서울,2018-03-08,4.6,4,1.9,76,8.1,6.5,
108,서울,2018-03-09,4.5,,1.5,63.3,5.9,4.3,
108,서울,2018-03-10,4.6,,2,65.8,4.6,5,
108,서울,2018-03-11,6.4,,2,51.3,2.8,7.2,
108,서울,2018-03-12,8,,1.4,45.8,3.3,6.6,
108,서울,2018-03-13,12.4,,1.8,60.5,5.9,10.6,
108,서울,2018-03-14,17,,2.3,58.8,6,14.8,
108,서울,2018-03-15,12.4,27,2.1,92.1,9.8,12.2,
108,서울,2018-03-16,7.1,,1.9,46.9,1.4,9.6,
108,서울,2018-03-17,6.6,,1.5,48,4.4,7.9,
108,서울,2018-03-18,8.2,.5,1.2,55.9,9.8,8.8,
108,서울,2018-03-19,8,1,2.5,64.5,9.5,7.5,
108,서울,2018-03-20,4.7,,3.4,39.9,6.9,5.2,
108,서울,2018-03-21,2.1,1,1.7,64.1,9.9,3.2,
108,서울,2018-03-22,4.9,,2.2,61.5,1.5,7.3,
108,서울,2018-03-23,6.1,,2,55.3,4.6,7.6,
108,서울,2018-03-24,7.6,,2.1,61.9,6.3,9.5,
108,서울,2018-03-25,9.6,,1.7,65.6,3.4,11.2,
108,서울,2018-03-26,11,,1.9,64.5,3.6,12.2,5.68
108,서울,2018-03-27,13.3,,1.6,61.1,2.6,12.6,
108,서울,2018-03-28,14,,2.2,66.4,4.3,13.1,
108,서울,2018-03-29,15.4,,1.6,66.3,4.9,15.1,
108,서울,2018-03-30,14.8,,1.7,55.6,.5,14.9,
108,서울,2018-03-31,14,,1.9,52.9,4.4,14.5,
108,서울,2018-04-01,15.6,,1.5,68.8,9.1,14.3,
108,서울,2018-04-02,18.4,,1.9,64,6.1,17.8,
108,서울,2018-04-03,17.8,.1,2.1,72.9,9.1,17.2,
108,서울,2018-04-04,13.4,18.5,1.9,67,6.1,15.9,
108,서울,2018-04-05,7.6,10.5,2,90.6,9.9,8.9,
108,서울,2018-04-06,5.8,6.5,3.1,71.6,8.9,8.7,
108,서울,2018-04-07,4.2,.2,4.1,45.5,5.1,6.2,
108,서울,2018-04-08,3.9,3,1.8,59.6,6.1,5.2,
108,서울,2018-04-09,7.9,,1.1,57.9,2.6,10,1.9
108,서울,2018-04-10,15.1,5,3.5,51,6.3,13,
108,서울,2018-04-11,12.6,,3,49.4,2.6,15.1,
108,서울,2018-04-12,13.3,,2.6,30.5,1.3,13.6,
108,서울,2018-04-13,14.6,,1.3,22.9,8.9,12.1,
108,서울,2018-04-14,9,9,1.8,78.8,8.9,9.4,
108,서울,2018-04-15,9.5,,2.4,65.5,3.1,11.4,
108,서울,2018-04-16,11.6,,1.6,41.9,1,13.3,
108,서울,2018-04-17,12.9,,1.9,37.9,.9,14.2,
108,서울,2018-04-18,12.4,,1.9,35.4,.4,16.2,
108,서울,2018-04-19,14,,1.9,38.8,0,17.5,
108,서울,2018-04-20,18.4,,1.3,46,.5,20.6,
108,서울,2018-04-21,18.7,,1.9,32,3.4,21.4,
108,서울,2018-04-22,15.5,15.5,1.1,57.4,9.5,14.4,
108,서울,2018-04-23,9.3,59,2.2,93.9,10,9.9,
108,서울,2018-04-24,12.1,3,1.4,63.3,8,12.6,
108,서울,2018-04-25,14.6,,1.5,37.8,.8,16.1,
108,서울,2018-04-26,14.9,,2.1,51.9,3.9,17.9,
108,서울,2018-04-27,15.7,,1.7,52.9,.1,19.3,
108,서울,2018-04-28,15.4,,2,49,0,20,
108,서울,2018-04-29,16.2,,1.9,43.1,2.4,20.5,
108,서울,2018-04-30,19.2,,1.6,61.6,5.5,23,
108,서울,2018-05-01,20.4,0,1.5,72.8,8.5,23.5,
108,서울,2018-05-02,15.1,12,1.9,90.4,9.9,16,
108,서울,2018-05-03,11.2,1,2.7,62.4,3.6,11.4,
108,서울,2018-05-04,14.1,,2.7,45.5,1.4,17.9,
108,서울,2018-05-05,18.3,,2.6,46.8,6,20.4,
108,서울,2018-05-06,16.6,22,1.1,86.4,9.3,17.2,
108,서울,2018-05-07,19.2,,1.2,60.3,6,18.4,
108,서울,2018-05-08,17.5,,1.7,50.9,3,21.3,
108,서울,2018-05-09,15.7,,1.7,50.4,.1,21.7,
108,서울,2018-05-10,15.4,,2.3,67.4,3.1,22.5,
108,서울,2018-05-11,16.1,,1.8,59.8,9.5,21,
108,서울,2018-05-12,14.2,32,.9,89.3,10,14.6,
108,서울,2018-05-13,15.8,.5,1.9,82.5,5.3,18.4,1.58
108,서울,2018-05-14,18.2,,1.4,71.4,6.6,21.2,
108,서울,2018-05-15,23.2,0,1.1,56.4,8.5,25.3,
108,서울,2018-05-16,22.3,45,1.9,93.8,10,21.6,
108,서울,2018-05-17,20.9,83,1.4,97,10,21.2,.33
108,서울,2018-05-18,16.3,6.5,1.3,86.8,8.3,18.2,
108,서울,2018-05-19,17.6,,1.5,47.5,0,21.2,
108,서울,2018-05-20,17,,1.4,32.1,4.6,16.9,
108,서울,2018-05-21,17.8,,1.4,43.9,3.9,21.8,
108,서울,2018-05-22,18.1,12.5,1.1,75.5,9,19,
108,서울,2018-05-23,17.3,6.5,2.5,57.1,1.4,21.9,
108,서울,2018-05-24,18.3,,2.2,47.4,.5,22.1,
108,서울,2018-05-25,19.7,,1.8,47.4,3.4,23.1,
108,서울,2018-05-26,21.8,,1.4,50.1,1,26.3,
108,서울,2018-05-27,20.3,,1.7,47.4,7.3,23.6,
108,서울,2018-05-28,22.3,,1.6,49.8,3.8,27.9,
108,서울,2018-05-29,21.4,1,1.8,69.3,9.4,25.2,
108,서울,2018-05-30,20.2,0,1.9,69.8,4.6,24.8,
108,서울,2018-05-31,20.9,,1.9,58.9,.9,28.3,
108,서울,2018-06-01,23.8,,1.9,50.4,0,30.6,
108,서울,2018-06-02,23.4,,2,44.5,1.4,30.8,
108,서울,2018-06-03,24,,1.6,39.4,4,31,
108,서울,2018-06-04,22.6,,1.9,50.1,7.9,27.4,
108,서울,2018-06-05,23.7,,1.7,52.5,1.4,30.7,
108,서울,2018-06-06,23,,2,62.9,1,30.9,
108,서울,2018-06-07,22.2,,2,69.3,4.5,30,
108,서울,2018-06-08,21.9,,2.1,68,5.5,31.1,
108,서울,2018-06-09,23.7,.5,1.4,60.6,6.6,29.7,
108,서울,2018-06-10,21.3,.5,1.4,59.9,9.5,23.7,
108,서울,2018-06-11,20.2,5,1.4,67.3,8.5,24.5,
108,서울,2018-06-12,21.3,0,1.7,65.5,4.5,26.2,
108,서울,2018-06-13,22,0,1.5,64,7.4,25.3,
108,서울,2018-06-14,21.6,29,1.1,74.9,9.5,22.7,
108,서울,2018-06-15,21.7,16.5,1.4,60.8,6.1,24,
108,서울,2018-06-16,22.5,,1.4,56.4,.8,26.8,
108,서울,2018-06-17,22.8,,1.3,66.9,7.8,25.3,
108,서울,2018-06-18,24.8,,1.5,54.9,3.6,30.4,
108,서울,2018-06-19,22.4,,1.8,61.3,8.1,26.4,
108,서울,2018-06-20,22.7,,2.3,68.1,5.4,28.9,
108,서울,2018-06-21,23.7,,2.2,60.1,3,32.2,
108,서울,2018-06-22,25,,1.8,45.1,5.1,30.6,
108,서울,2018-06-23,24.5,,2,50.6,8,30.7,
108,서울,2018-06-24,25.2,,1.9,62.8,4,32.8,
108,서울,2018-06-25,27.1,,1.2,57.1,7.9,31.7,
108,서울,2018-06-26,22.3,71.5,2.4,88.3,10,22.5,.97
108,서울,2018-06-27,22.3,1,2,81.9,8.8,23.7,
108,서울,2018-06-28,23.3,26.5,1.1,85.1,9.5,24.5,
108,서울,2018-06-29,24.7,6.5,1.5,78.5,7.3,26.6,
108,서울,2018-06-30,24.4,14.5,.9,83.8,9.1,24.7,
108,서울,2018-07-01,21.9,83.5,.8,94.6,9.9,22.2,
108,서울,2018-07-02,22.6,59.5,.7,95.4,9.6,23.5,
108,서울,2018-07-03,27.4,.1,.8,74.4,6,29.1,
108,서울,2018-07-04,27.3,,1.7,69.6,7.1,30,
108,서울,2018-07-05,25.3,.5,1.2,72.8,8.6,27,
108,서울,2018-07-06,23.9,,1.8,57.8,8.5,27,
108,서울,2018-07-07,23.7,,1.6,51.4,3.6,30.9,
108,서울,2018-07-08,23.3,,1.5,51.5,7,29.8,
108,서울,2018-07-09,20.8,14,1.1,82.3,9.9,22.4,
108,서울,2018-07-10,23.7,16.5,.7,87.8,9.8,23.9,
108,서울,2018-07-11,26.8,3,1.3,82.9,9.6,26.9,
108,서울,2018-07-12,26.6,1,1.5,82.4,7.5,27,
108,서울,2018-07-13,27.3,,1.8,74.8,6.4,28.9,
108,서울,2018-07-14,27.9,0,1.9,69.6,5,30.6,
108,서울,2018-07-15,28.3,,1.6,69.6,2.6,32.6,
108,서울,2018-07-16,28.7,,1.7,64.3,.4,33.4,
108,서울,2018-07-17,28.1,,1.7,66.5,1.3,34.3,
108,서울,2018-07-18,28.2,,1.6,64.8,.8,34.2,
108,서울,2018-07-19,28.7,,1.6,64.1,.1,35.6,
108,서울,2018-07-20,29.5,,1.5,62.6,.4,35.7,
108,서울,2018-07-21,30.6,,1.5,53.6,.3,36.1,
108,서울,2018-07-22,31.8,,1.4,49.6,3.5,37.3,
108,서울,2018-07-23,31.7,,1.8,53.8,7.9,37.1,
108,서울,2018-07-24,31.4,,1.6,59.5,4.4,35.8,
108,서울,2018-07-25,30.1,,2.4,66.3,6.3,36.1,
108,서울,2018-07-26,30.1,,1.5,68.8,5.8,32.7,
108,서울,2018-07-27,30.9,,1.9,69.3,2.3,36.2,
108,서울,2018-07-28,29.5,7.5,1.2,77.1,5.5,30.1,
108,서울,2018-07-29,31.3,,1.2,52.4,2.4,32.2,
108,서울,2018-07-30,31.7,,1.2,50.9,3.1,34,
108,서울,2018-07-31,32.6,,1.5,50.5,2.8,38.8,
108,서울,2018-08-01,33.6,,1.7,55.5,.8,40.1,
108,서울,2018-08-02,33.7,,1.6,54.4,4,36.8,
108,서울,2018-08-03,33.1,,1.9,55.3,1,39.3,
108,서울,2018-08-04,31.1,,2.4,60.6,3.4,37.8,
108,서울,2018-08-05,30,2,2.6,71.8,6.5,34.9,
108,서울,2018-08-06,30.5,6.5,1.6,71.6,7.6,31.4,
108,서울,2018-08-07,30.5,,1.5,63.4,3.6,29.7,
108,서울,2018-08-08,31,,2.1,64.8,3,35.5,
108,서울,2018-08-09,28.8,2,1.5,76.3,7.3,32.5,
108,서울,2018-08-10,30.7,,1.4,60.9,3.5,32.7,
108,서울,2018-08-11,31,,1.5,55.8,2.9,36.3,
108,서울,2018-08-12,30.6,5,1.5,61.3,6.5,34.7,
108,서울,2018-08-13,30.5,1,1.4,68.6,7.3,29.9,
108,서울,2018-08-14,31.7,,1.3,58.3,6.9,34.7,
108,서울,2018-08-15,31.7,1,1.2,59.5,6.4,34,
108,서울,2018-08-16,29.9,,1.7,51,3.3,35.5,
108,서울,2018-08-17,27.2,,1.8,39.8,0,34.6,
108,서울,2018-08-18,26.7,,1.4,44.6,5,34.1,
108,서울,2018-08-19,28.2,,1.2,50.6,7.9,34.4,
108,서울,2018-08-20,29.1,0,2,55.6,8.4,32.7,
108,서울,2018-08-21,26.6,5,2.5,71.4,6.3,27,
108,서울,2018-08-22,30.7,,1.1,54.1,4.5,34.6,
108,서울,2018-08-23,29.4,3,1.7,59.1,9.5,31.5,
108,서울,2018-08-24,24.4,7.5,2.5,86.3,9.6,24.7,
108,서울,2018-08-25,25.2,,2.6,68,7,25.6,
108,서울,2018-08-26,23.2,2,1.2,70,6.4,24.3,
108,서울,2018-08-27,22.7,19.5,.8,91,8.9,24.4,
108,서울,2018-08-28,23.7,96.5,.9,92.4,9,24.4,
108,서울,2018-08-29,25.2,42,2.4,86,10,24.8,
108,서울,2018-08-30,25.3,9.5,1.8,80.9,9.4,25.8,
108,서울,2018-08-31,25.6,.1,1.6,67.4,4.5,27.2,
108,서울,2018-09-01,25.5,,1.3,59.4,1.5,26.5,
108,서울,2018-09-02,25.1,,1.5,55.8,5.5,28.4,
108,서울,2018-09-03,23.3,34.5,1,85.3,9.8,24.3,
108,서울,2018-09-04,23.2,,2.2,69.4,5.1,24,
108,서울,2018-09-05,24,,2.5,63.5,1.9,24.8,
108,서울,2018-09-06,24.1,1,2,69.9,7.9,24.7,
108,서울,2018-09-07,22,.5,2.5,54.6,4.9,23.3,
108,서울,2018-09-08,21.7,,1.7,48.8,.3,24.5,
108,서울,2018-09-09,22.2,,1.2,49,1.4,26.4,
108,서울,2018-09-10,22.9,,1.6,49.5,2.4,26.2,
108,서울,2018-09-11,21.6,,1.5,48.1,7.5,24.5,
108,서울,2018-09-12,22.8,,1.4,52,4.1,26.8,
108,서울,2018-09-13,23.5,,1.2,63.5,7.9,27.2,
108,서울,2018-09-14,23.5,.5,1.3,66.9,8.3,25.4,
108,서울,2018-09-15,23.3,.2,1,76,9.8,24,
108,서울,2018-09-16,22.2,2,1.7,83.6,10,23.2,
108,서울,2018-09-17,22.3,.1,1.9,64.3,5.3,25.8,
108,서울,2018-09-18,22,,1.2,59.8,8.3,25.5,
108,서울,2018-09-19,22.1,.2,1,59.1,9.5,24.4,
108,서울,2018-09-20,19,5,1.8,82.4,10,19.8,
108,서울,2018-09-21,19.4,18,1.3,85.8,9.3,20.8,
108,서울,2018-09-22,20.8,6.5,1.8,62.3,2.1,21.1,
108,서울,2018-09-23,19.4,0,1.6,52.9,4.4,19.9,
108,서울,2018-09-24,17.6,,2.1,48.3,1.1,19.3,
108,서울,2018-09-25,17.8,,1.1,48,2.1,19.8,
108,서울,2018-09-26,19.4,,1.7,47.9,5,21.8,
108,서울,2018-09-27,18.9,,1.3,47.6,.9,20,
108,서울,2018-09-28,17.5,,1.2,58.1,6.1,18.6,
108,서울,2018-09-29,20.2,,1,55.5,.4,21.9,
108,서울,2018-09-30,17.6,,2.3,52.5,.6,21.2,
108,서울,2018-10-01,15.4,0,2.9,55.1,4.5,19,
108,서울,2018-10-02,15.9,,1.6,61.4,.5,19.4,
108,서울,2018-10-03,17.3,,1.3,58,0,19.8,
108,서울,2018-10-04,19.3,,1.3,56.5,6.5,20.7,
108,서울,2018-10-05,16.9,36.5,1.7,84.1,9.8,17,
108,서울,2018-10-06,18,55.5,2.2,84,7.5,18.8,
108,서울,2018-10-07,16.4,,1.7,53.5,2.9,16.2,
108,서울,2018-10-08,14.8,,1.1,47,4.4,14.1,
108,서울,2018-10-09,15.3,0,1.1,52.5,9,14.3,
108,서울,2018-10-10,12,7,2.5,61,6.8,13.1,
108,서울,2018-10-11,9.7,,2.1,51,1.4,8.9,
108,서울,2018-10-12,10.9,,1.3,54,0,12.7,
108,서울,2018-10-13,12.5,,1,54,0,13.8,
108,서울,2018-10-14,13.2,,1.5,60,3.4,14.9,
108,서울,2018-10-15,15.2,,1.4,69.9,4,15.7,
108,서울,2018-10-16,14.5,,1.3,55.9,5.6,15.4,
108,서울,2018-10-17,12.4,,1.3,53.3,0,14.9,
108,서울,2018-10-18,12.7,,1.1,59.5,3.1,14.8,
108,서울,2018-10-19,13.1,,1.4,54.3,0,14.9,
108,서울,2018-10-20,13.4,,1.2,53.9,1.1,15.1,
108,서울,2018-10-21,13.4,,1.1,49.5,2.4,14.8,
108,서울,2018-10-22,14,,1,50,5.3,15.1,
108,서울,2018-10-23,12.2,5,1.1,75.1,5.4,13.1,
108,서울,2018-10-24,12.5,,1.3,66,.5,12.4,
108,서울,2018-10-25,13.8,,.9,55.5,4,12.7,
108,서울,2018-10-26,12.2,11,1.6,74.1,7.5,12.8,
108,서울,2018-10-27,8.7,,3.2,49.6,1.6,8.7,
108,서울,2018-10-28,8.3,5.5,1.5,77.1,7.3,8.8,
108,서울,2018-10-29,7.2,0,2,57.3,5.9,7.5,
108,서울,2018-10-30,6.1,0,1.6,51.3,3.3,6.9,
108,서울,2018-10-31,7.4,0,1.6,55.4,.8,8,
108,서울,2018-11-01,8.4,,1.3,53.4,0,8.1,
108,서울,2018-11-02,10.6,,1.1,54.9,0,9.8,
108,서울,2018-11-03,11.2,,1.3,56,0,10.3,
108,서울,2018-11-04,11.6,,1.3,55,2.1,11,
108,서울,2018-11-05,11.9,,1.1,65.5,5.3,11.4,
108,서울,2018-11-06,12.2,,.9,70.5,6.9,12,
108,서울,2018-11-07,12.8,2,1.1,79.5,9.9,13.2,.8
108,서울,2018-11-08,11.8,64,1.8,93.8,10,13.1,
108,서울,2018-11-09,12.1,1,3.1,69,7.9,12.5,
