,측정일자,권역명,측정소명,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
0,20170101,도심권,중구,81,64,0.003,0.057,1.0,0.005
1,20170101,도심권,용산구,77,73,0.003,0.039,1.1,0.005
2,20170101,도심권,종로구,82,67,0.003,0.054,1.0,0.004
3,20170101,서북권,서대문구,91,50,0.008,0.039,0.8,0.005
4,20170101,서북권,은평구,70,46,0.005,0.042,0.7,0.006
5,20170101,서북권,마포구,76,68,0.004,0.055,1.2,0.005
6,20170101,동북권,도봉구,78,47,0.003,0.052,0.9,0.006
7,20170101,동북권,성북구,66,44,0.003,0.048,0.9,0.005
8,20170101,동북권,동대문구,87,62,0.003,0.046,1.0,0.006
9,20170101,동북권,중랑구,80,63,0.005,0.041,0.8,0.005
10,20170101,동북권,성동구,77,53,0.003,0.045,0.8,0.005
11,20170101,동북권,광진구,80,71,0.005,0.045,0.8,0.004
12,20170101,동북권,노원구,82,65,0.004,0.052,1.2,0.008
13,20170101,동북권,강북구,78,65,0.003,0.046,1.0,0.005
14,20170101,서남권,금천구,66,45,0.006,0.053,1.0,0.005
15,20170101,서남권,관악구,75,56,0.005,0.064,1.3,0.006
16,20170101,서남권,동작구,72,58,0.004,0.058,1.1,0.005
17,20170101,서남권,영등포구,70,53,0.006,0.03,1.2,0.004
18,20170101,서남권,구로구,79,54,0.006,0.036,1.0,0.007
19,20170101,서남권,강서구,75,54,0.005,0.053,1.0,0.006
20,20170101,서남권,양천구,80,51,0.004,0.046,1.1,0.005
21,20170101,동남권,강동구,80,54,0.003,0.039,0.8,0.004
22,20170101,동남권,송파구,64,49,0.004,0.04,1.2,0.005
23,20170101,동남권,서초구,87,51,0.005,0.042,1.2,0.005
24,20170101,동남권,강남구,80,58,0.002,0.04,0.8,0.005
25,20170102,도심권,종로구,112,87,0.016,0.046,1.0,0.005
26,20170102,도심권,중구,108,82,0.017,0.045,0.9,0.006
27,20170102,도심권,용산구,105,97,0.013,0.036,1.0,0.006
28,20170102,서북권,서대문구,126,64,0.02,0.033,0.7,0.006
29,20170102,서북권,은평구,110,79,0.021,0.038,0.7,0.007
30,20170102,서북권,마포구,103,91,0.015,0.046,1.1,0.005
31,20170102,동북권,동대문구,128,89,0.012,0.039,1.0,0.006
32,20170102,동북권,노원구,105,82,0.02,0.04,0.9,0.008
33,20170102,동북권,강북구,105,87,0.023,0.035,0.9,0.006
34,20170102,동북권,도봉구,116,70,0.021,0.04,0.9,0.007
35,20170102,동북권,성북구,104,66,0.01,0.046,1.0,0.006
36,20170102,동북권,중랑구,122,95,0.014,0.041,0.9,0.005
37,20170102,동북권,성동구,112,80,0.014,0.038,0.7,0.005
38,20170102,동북권,광진구,111,95,0.019,0.045,0.9,0.005
39,20170102,서남권,양천구,107,63,0.011,0.039,0.9,0.005
40,20170102,서남권,강서구,107,71,0.018,0.037,0.7,0.007
41,20170102,서남권,구로구,116,78,0.017,0.03,0.8,0.008
42,20170102,서남권,영등포구,107,75,0.014,0.027,1.0,0.004
43,20170102,서남권,동작구,98,79,0.016,0.048,0.9,0.006
44,20170102,서남권,관악구,104,74,0.017,0.048,1.0,0.008
45,20170102,서남권,금천구,101,67,0.015,0.046,0.8,0.005
46,20170102,동남권,강동구,119,82,0.014,0.04,0.9,0.005
47,20170102,동남권,강남구,118,79,0.015,0.036,0.8,0.006
48,20170102,동남권,서초구,123,68,0.021,0.037,0.9,0.006
49,20170102,동남권,송파구,93,64,0.017,0.037,1.0,0.005
50,20170103,도심권,용산구,65,54,0.013,0.036,0.8,0.005
51,20170103,도심권,종로구,73,52,0.014,0.047,0.8,0.005
52,20170103,도심권,중구,73,50,0.013,0.049,0.7,0.005
53,20170103,서북권,은평구,74,47,0.016,0.043,0.4,0.005
54,20170103,서북권,마포구,66,55,0.012,0.048,0.9,0.005
55,20170103,서북권,서대문구,90,40,0.016,0.033,0.7,0.006
56,20170103,동북권,노원구,85,64,0.009,0.054,1.0,0.007
57,20170103,동북권,강북구,78,60,0.015,0.039,0.8,0.006
58,20170103,동북권,도봉구,93,56,0.016,0.044,0.9,0.007
59,20170103,동북권,성북구,101,59,0.009,0.05,0.9,0.006
60,20170103,동북권,동대문구,92,63,0.01,0.044,0.9,0.006
61,20170103,동북권,중랑구,94,69,0.009,0.048,0.8,0.005
62,20170103,동북권,성동구,82,52,0.011,0.046,0.5,0.005
63,20170103,동북권,광진구,86,67,0.016,0.048,0.9,0.005
64,20170103,서남권,구로구,75,47,0.015,0.03,0.6,0.007
65,20170103,서남권,영등포구,65,42,0.012,0.026,0.8,0.004
66,20170103,서남권,동작구,63,46,0.017,0.041,0.7,0.005
67,20170103,서남권,관악구,64,42,0.014,0.049,0.8,0.007
68,20170103,서남권,금천구,63,38,0.016,0.044,0.7,0.005
69,20170103,서남권,양천구,73,38,0.008,0.041,0.8,0.005
70,20170103,서남권,강서구,75,46,0.013,0.044,0.7,0.007
71,20170103,동남권,서초구,76,39,0.018,0.04,0.7,0.006
72,20170103,동남권,송파구,76,47,0.017,0.038,0.9,0.006
73,20170103,동남권,강동구,97,65,0.011,0.045,0.9,0.005
74,20170103,동남권,강남구,84,50,0.014,0.036,0.6,0.006
75,20170104,도심권,종로구,51,35,0.009,0.058,1.0,0.005
76,20170104,도심권,용산구,49,39,0.007,0.044,0.9,0.006
77,20170104,도심권,중구,51,34,0.009,0.057,0.9,0.005
78,20170104,서북권,서대문구,61,32,0.013,0.04,0.8,0.006
79,20170104,서북권,은평구,49,30,0.007,0.036,0.6,0.005
80,20170104,서북권,마포구,49,40,0.009,0.058,1.0,0.005
81,20170104,동북권,도봉구,54,32,0.011,0.052,1.0,0.007
82,20170104,동북권,성북구,59,31,0.007,0.056,0.9,0.006
83,20170104,동북권,동대문구,55,33,0.007,0.052,1.0,0.006
84,20170104,동북권,중랑구,59,37,0.006,0.052,0.8,0.006
85,20170104,동북권,성동구,57,35,0.006,0.057,0.6,0.005
86,20170104,동북권,광진구,54,40,0.008,0.055,0.9,0.006
87,20170104,동북권,노원구,49,34,0.01,0.055,0.9,0.006
88,20170104,동북권,강북구,44,33,0.014,0.044,0.9,0.007
89,20170104,서남권,양천구,58,32,0.006,0.05,1.0,0.006
90,20170104,서남권,관악구,55,37,0.009,0.064,1.0,0.007
91,20170104,서남권,동작구,52,35,0.009,0.056,0.9,0.005
92,20170104,서남권,영등포구,57,34,0.008,0.033,1.0,0.004
93,20170104,서남권,구로구,60,36,0.009,0.039,0.8,0.008
94,20170104,서남권,강서구,63,37,0.01,0.052,0.8,0.007
95,20170104,서남권,금천구,52,32,0.009,0.056,0.8,0.005
96,20170104,동남권,서초구,56,28,0.012,0.048,0.9,0.005
97,20170104,동남권,강동구,66,40,0.005,0.055,1.0,0.005
98,20170104,동남권,송파구,55,33,0.008,0.047,1.1,0.006
99,20170104,동남권,강남구,58,34,0.007,0.05,0.7,0.006
100,20170105,도심권,종로구,35,22,0.011,0.041,0.6,0.004
101,20170105,도심권,중구,35,23,0.008,0.045,0.6,0.004
102,20170105,도심권,용산구,29,23,0.013,0.03,0.6,0.004
103,20170105,서북권,마포구,32,24,0.011,0.042,0.8,0.004
104,20170105,서북권,서대문구,27,17,0.021,0.026,0.6,0.005
105,20170105,서북권,은평구,32,20,0.009,0.014,0.6,0.004
106,20170105,동북권,성동구,39,23,0.014,0.033,0.5,0.004
107,20170105,동북권,노원구,37,24,0.015,0.038,0.8,0.007
108,20170105,동북권,강북구,28,20,0.013,0.03,0.6,0.005
109,20170105,동북권,도봉구,42,23,0.014,0.033,0.6,0.005
110,20170105,동북권,성북구,51,25,0.008,0.04,0.6,0.005
111,20170105,동북권,동대문구,43,24,0.007,0.04,0.8,0.005
112,20170105,동북권,중랑구,38,23,0.014,0.031,0.5,0.005
113,20170105,동북권,광진구,33,22,0.017,0.033,0.6,0.004
114,20170105,서남권,양천구,39,20,0.006,0.039,0.8,0.005
115,20170105,서남권,영등포구,36,22,0.01,0.025,0.7,0.004
116,20170105,서남권,구로구,39,22,0.01,0.029,0.6,0.006
117,20170105,서남권,강서구,53,29,0.007,0.043,0.7,0.006
118,20170105,서남권,금천구,32,19,0.011,0.041,0.7,0.004
119,20170105,서남권,관악구,34,25,0.008,0.05,0.7,0.006
120,20170105,서남권,동작구,32,24,0.009,0.045,0.7,0.004
121,20170105,동남권,서초구,38,18,0.013,0.038,0.8,0.005
122,20170105,동남권,송파구,31,19,0.014,0.032,0.8,0.006
123,20170105,동남권,강동구,36,22,0.014,0.032,0.6,0.004
124,20170105,동남권,강남구,39,21,0.008,0.038,0.5,0.005
125,20170106,도심권,용산구,18,15,0.014,0.029,0.5,0.004
126,20170106,도심권,종로구,20,11,0.013,0.04,0.5,0.004
127,20170106,도심권,중구,18,14,0.012,0.04,0.5,0.003
128,20170106,서북권,서대문구,21,13,0.019,0.027,0.6,0.005
129,20170106,서북권,마포구,24,17,0.013,0.039,0.6,0.004
130,20170106,서북권,은평구,18,10,0.01,0.021,0.4,0.003
131,20170106,동북권,중랑구,18,12,0.015,0.031,0.4,0.005
132,20170106,동북권,성동구,23,13,0.013,0.037,0.4,0.004
133,20170106,동북권,광진구,20,10,0.018,0.034,0.5,0.004
134,20170106,동북권,노원구,18,9,0.013,0.044,0.7,0.005
135,20170106,동북권,도봉구,19,11,0.013,0.036,0.4,0.005
136,20170106,동북권,강북구,14,10,0.011,0.033,0.5,0.005
137,20170106,동북권,성북구,20,9,0.009,0.04,0.5,0.004
138,20170106,동북권,동대문구,22,14,0.01,0.036,0.6,0.005
139,20170106,서남권,양천구,22,11,0.008,0.035,0.6,0.004
140,20170106,서남권,금천구,20,14,0.015,0.037,0.5,0.004
141,20170106,서남권,관악구,19,22,0.01,0.047,0.6,0.005
142,20170106,서남권,동작구,19,14,0.012,0.039,0.5,0.004
143,20170106,서남권,영등포구,23,15,0.012,0.025,0.8,0.004
144,20170106,서남권,구로구,21,13,0.012,0.028,0.4,0.006
145,20170106,서남권,강서구,22,13,0.011,0.038,0.5,0.005
146,20170106,동남권,서초구,22,11,0.014,0.038,0.6,0.005
147,20170106,동남권,강남구,24,13,0.009,0.038,0.4,0.005
148,20170106,동남권,송파구,22,13,0.016,0.032,0.6,0.005
149,20170106,동남권,강동구,25,15,0.014,0.036,0.5,0.004
150,20170107,도심권,종로구,55,41,0.004,0.057,0.9,0.005
151,20170107,도심권,중구,52,41,0.004,0.056,0.8,0.004
152,20170107,도심권,용산구,52,45,0.004,0.042,0.8,0.005
153,20170107,서북권,은평구,38,26,0.006,0.033,0.6,0.003
154,20170107,서북권,서대문구,49,27,0.009,0.038,0.7,0.005
155,20170107,서북권,마포구,58,43,0.005,0.055,1.0,0.004
156,20170107,동북권,강북구,47,36,0.005,0.043,0.7,0.005
157,20170107,동북권,성북구,55,39,0.003,0.053,1.0,0.005
158,20170107,동북권,동대문구,58,35,0.004,0.05,1.0,0.005
159,20170107,동북권,중랑구,51,34,0.004,0.044,0.6,0.005
160,20170107,동북권,성동구,59,35,0.004,0.052,0.6,0.005
161,20170107,동북권,광진구,54,42,0.006,0.049,0.8,0.004
